FINAL_OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,n_rows,UCR_PART_MANUAL
AFFRAY/DISTURBING THE PEACE/DISORDERLY CONDUCT,MIGRATED REPORT - AFFRAY/DISTURBING THE PEACE/DISORDERLY CONDUCT,2,Part Two
AGGRAVATED ASSAULT/AGGRAVATED ASSAULT & BATTERY,MIGRATED REPORT - AGGRAVATED ASSAULT/AGGRAVATED ASSAULT & BATTERY,52,Part One
ARSON,ARSON,257,Part One
ASSAULT/ASSAULT & BATTERY,MIGRATED REPORT - ASSAULT/ASSAULT & BATTERY,39,Part One
ASSEMBLY OR GATHERING VIOLATIONS,DRUNKENNESS,38,Part Three
AUTO THEFT,MIGRATED REPORT - AUTO THEFT,9,Part One
AUTO THEFT RECOVERY,AUTO THEFT - OUTSIDE - RECOVERED IN BOSTON,1,Part Three
AUTO THEFT RECOVERY,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),2761,Part Three
B&E NON-RESIDENCE NIGHT - ATTEMPT FORCE,BREAKING AND ENTERING (B&E) MOTOR VEHICLE (NO PROPERTY STOLEN),105,Part One
BREAKING AND ENTERING (B&E) MOTOR VEHICLE,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,128,Part One
BURGLARY - NO PROPERTY TAKEN,B&E NON-RESIDENCE DAY - NO PROP TAKEN,2,Part One
BURGLARY - NO PROPERTY TAKEN,B&E RESIDENCE DAY - NO PROP TAKEN,3,Part One
BURGLARY/BREAKING AND ENTERING,MIGRATED REPORT - BURGLARY/BREAKING AND ENTERING,26,Part One
COMMERCIAL BURGLARY,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,64,Part One
COMMERCIAL BURGLARY,BURGLARY - COMMERICAL,2378,Part Two
COUNTERFEITING/FORGERY,MIGRATED REPORT - COUNTERFEITING/FORGERY,4,Part Two
CRIMINAL HARASSMENT,HARASSMENT/ CRIMINAL HARASSMENT,7319,Part Two
CRIMINAL HOMICIDE,MIGRATED REPORT - CRIMINAL HOMICIDE,5,Part One
DEATH INVESTIGATION,MIGRATED REPORT - DEATH INVESTIGATION,17,Part Three
DISORDERLY CONDUCT,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,1170,Part Two
DRUG VIOLATION,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,11521,Part Two
DRUG VIOLATION,SICK ASSIST,26657,Part Three
DRUG VIOLATION,SICK ASSIST - DRUG RELATED ILLNESS,4688,Part Three
DRUGS - POSSESSION/MANUFACTURING/DISTRIBUTE,MIGRATED REPORT - DRUGS - POSSESSION/MANUFACTURING/DISTRIBUTE,52,Part Two
EMBEZZLEMENT,MIGRATED REPORT - EMBEZZLEMENT,1,Part Two
EVIDENCE TRACKER INCIDENTS,EVIDENCE TRACKER INCIDENTS,1,Part Three
FIRE RELATED REPORTS,FIRE REPORT,2660,Part Three
FIREARM VIOLATIONS,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,1905,Part Two
FRAUD,MIGRATED REPORT - FRAUD,11,Part Two
HOME INVASION,HOME INVASION,84,Part One
HOMICIDE,"MURDER, NON-NEGLIGENT MANSLAUGHTER",115,Part Two
HUMAN TRAFFICKING,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,8,Part One
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,2,Part One
INJURED/MEDICAL/SICK ASSIST,MIGRATED REPORT - INJURED/MEDICAL/SICK ASSIST,1,Part Three
INVESTIGATE PERSON,MIGRATED REPORT - INVESTIGATE PERSON,10,Part Three
INVESTIGATE PROPERTY,MIGRATED REPORT - INVESTIGATE PROPERTY,11,Part Three
JUSTIFIABLE HOMICIDE,JUSTIFIABLE HOMICIDE,3,Part One
KIDNAPPING,MIGRATED REPORT - KIDNAPPING,1,Part One
KIDNAPPING/CUSTODIAL KIDNAPPING/ ABDUCTION,KIDNAPPING/CUSTODIAL KIDNAPPING/ ABDUCTION,58,Part One
LANDLORD/TENANT DISPUTES,LANDLORD - TENANT,2170,Part Three
