INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
262000045,3115,,INVESTIGATE PERSON,C11,343,0,2026-01-01 00:00:00+00,2026,1,Thursday ,0,,HOMES AVE,42.3025271,-71.07088922,"(42.30252710132937, -71.07088922114173)"
262000100,3007,,SUDDEN DEATH,E13,303,0,2026-01-01 00:00:00+00,2026,1,Thursday ,0,,COLUMBUS AVE,42.31898817,-71.09840042,"(42.318988173254844, -71.09840042220331)"
262000057,3801,,M/V ACCIDENT - OTHER,C11,337,0,2026-01-01 00:00:00+00,2026,1,Thursday ,0,,VAUGHAN AVE,42.30626204,-71.07633217,"(42.306262038353836, -71.07633216894304)"
262000454,3115,,INVESTIGATE PERSON,C6,200,0,2026-01-01 00:00:00+00,2026,1,Thursday ,0,,W BROADWAY,42.34128702,-71.0546798,"(42.34128702104515, -71.05467980204799)"
262000029,1831,,SICK ASSIST,A15,43,0,2026-01-01 00:00:00+00,2026,1,Thursday ,0,,OLD IRONSIDES WAY,42.38020426,-71.0574144,"(42.38020426480444, -71.05741439838872)"
262000007,3207,,PROPERTY - FOUND,A1,93,0,2026-01-01 00:26:00+00,2026,1,Thursday ,0,,FANEUIL HALL SQ,42.36020415,-71.0562086,"(42.36020415310621, -71.05620859793551)"
262000250,3203,,FIREARM/WEAPON - LOST,C6,200,0,2026-01-01 00:30:00+00,2026,1,Thursday ,0,,W BROADWAY,42.34128702,-71.0546798,"(42.34128702104515, -71.05467980204799)"
262000018,1831,,SICK ASSIST,D4,143,0,2026-01-01 00:31:00+00,2026,1,Thursday ,0,,BOYLSTON ST,42.34862337,-71.08277689,"(42.34862336851335, -71.08277689315231)"
262000008,3114,,INVESTIGATE PROPERTY,C11,337,0,2026-01-01 00:32:00+00,2026,1,Thursday ,0,,BEECHWOOD ST,42.30524367,-71.0748386,"(42.30524366770384, -71.0748386036851)"
262000009,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,A1,95,0,2026-01-01 00:50:00+00,2026,1,Thursday ,0,,"STATE ST & ATLANTIC AVE
BOSTON, MA 02109
UNITED ST",42.35961752,-71.05180445,"(42.35961752256635, -71.05180444529132)"
262000024,801,,ASSAULT - SIMPLE,A1,121,0,2026-01-01 00:54:00+00,2026,1,Thursday ,0,,TREMONT ST,42.34942817,-71.06536689,"(42.349428171490224, -71.06536689336696)"
262000012,3410,,TOWED MOTOR VEHICLE,A7,25,0,2026-01-01 00:57:00+00,2026,1,Thursday ,0,,WHITE ST,42.38052152,-71.03715099,"(42.38052151637844, -71.03715098540245)"
262000013,3114,,INVESTIGATE PROPERTY,B2,268,0,2026-01-01 00:59:00+00,2026,1,Thursday ,0,,DUDLEY ST,42.32832218,-71.07861146,"(42.32832218416914, -71.07861146480997)"
262000169,3801,,M/V ACCIDENT - OTHER,C6,200,0,2026-01-01 01:00:00+00,2026,1,Thursday ,1,,W BROADWAY,42.34128702,-71.0546798,"(42.34128702104515, -71.05467980204799)"
262000011,3114,,INVESTIGATE PROPERTY,C11,332,1,2026-01-01 01:08:00+00,2026,1,Thursday ,1,,HANCOCK ST,42.31378957,-71.06534248,"(42.313789565960626, -71.06534248124657)"
262000141,423,,ASSAULT - AGGRAVATED,E13,579,0,2026-01-01 01:11:00+00,2026,1,Thursday ,1,,CENTRE ST,42.32283717,-71.10096785,"(42.322837167271935, -71.10096784597471)"
262000017,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,D4,624,0,2026-01-01 01:14:00+00,2026,1,Thursday ,1,,LANSDOWNE ST,42.3471732,-71.09644445,"(42.347173203242725, -71.09644445102023)"
262000019,3207,,PROPERTY - FOUND,A1,93,0,2026-01-01 01:30:00+00,2026,1,Thursday ,1,,NORTH ST,42.3602887,-71.05692374,"(42.36028869814326, -71.05692374007779)"
262000158,611,,LARCENY PICK-POCKET,A1,77,0,2026-01-01 01:30:00+00,2026,1,Thursday ,1,,SUDBURY ST,,,
262000888,619,,LARCENY ALL OTHERS,B3,465,0,2026-01-01 01:30:00+00,2026,1,Thursday ,1,,BLUE HILL AVE,42.28482534,-71.09137437,"(42.28482533772862, -71.09137437366408)"
262000579,801,,ASSAULT - SIMPLE,B2,282,0,2026-01-01 01:40:00+00,2026,1,Thursday ,1,,WASHINGTON ST,42.32866239,-71.08563459,"(42.32866239451696, -71.08563458516488)"
262000021,3821,,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,E18,520,0,2026-01-01 01:43:00+00,2026,1,Thursday ,1,,"CLAY ST & HYDE PARK AVE
HYDE PARK, MA 02136
UNITED",42.25808962,-71.12357378,"(42.2580896226698, -71.12357377576296)"
262000026,3801,,M/V ACCIDENT - OTHER,A7,15,0,2026-01-01 01:55:00+00,2026,1,Thursday ,1,,SARATOGA ST,42.37950392,-71.02857738,"(42.37950392087245, -71.02857738165305)"
262000128,3207,,PROPERTY - FOUND,B3,465,0,2026-01-01 02:00:00+00,2026,1,Thursday ,2,,BLUE HILL AVE,42.28482534,-71.09137437,"(42.28482533772862, -71.09137437366408)"
262000033,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D4,167,0,2026-01-01 02:12:00+00,2026,1,Thursday ,2,,HARRISON AVE,42.33954153,-71.06940928,"(42.33954152609665, -71.06940928222296)"
262000035,3115,,INVESTIGATE PERSON,B2,326,0,2026-01-01 02:14:00+00,2026,1,Thursday ,2,,CRESTON PARK,42.31251289,-71.07928208,"(42.31251289174526, -71.07928207592134)"
262000025,3111,,LICENSE PREMISE VIOLATION,A7,23,0,2026-01-01 02:21:00+00,2026,1,Thursday ,2,,BENNINGTON ST,42.37546932,-71.03730257,"(42.375469322192394, -71.03730257165637)"
262000039,801,,ASSAULT - SIMPLE,A1,121,0,2026-01-01 02:29:00+00,2026,1,Thursday ,2,,"WARRENTON PL & CHARLES ST S
BOSTON, MA 02116
UNITE",42.34962653,-71.06654552,"(42.349626528022185, -71.06654552152357)"
262000030,423,,ASSAULT - AGGRAVATED,C6,206,0,2026-01-01 02:42:00+00,2026,1,Thursday ,2,,SLEEPER ST,42.3534818,-71.04814104,"(42.35348179507521, -71.0481410399678)"
262000053,801,,ASSAULT - SIMPLE,A1,74,0,2026-01-01 02:46:00+00,2026,1,Thursday ,2,,STANIFORD ST,42.36174054,-71.06376607,"(42.361740540869306, -71.06376607419894)"
262000040,1402,,VANDALISM,C11,340,0,2026-01-01 02:54:00+00,2026,1,Thursday ,2,,DRAPER ST,42.30540668,-71.06547193,"(42.30540668201442, -71.06547193143143)"
